,Epoch,gpu_mem,box,obj,cls,total,labels,img_size,P,R,mAP@.5,mAP@.5:.95,,,
,84/99,12.1G,0.03636,0.009409,0,0.04577,69,640,0.8304,0.791,0.8521,0.4542,0.0719,0.005085,0
,85/99,12.1G,0.03524,0.009325,0,0.04456,41,640,0.8277,0.791,0.8499,0.4289,0.07113,0.004997,0
,86/99,12.1G,0.03529,0.009467,0,0.04476,52,640,0.8191,0.8109,0.8479,0.4322,0.06768,0.005024,0
,87/99,12.1G,0.03686,0.009431,0,0.04629,55,640,0.8215,0.806,0.8419,0.4283,0.06836,0.005049,0
,88/99,12.1G,0.03717,0.00931,0,0.04648,60,640,0.795,0.791,0.8333,0.4449,0.07137,0.005226,0
,89/99,12.1G,0.03794,0.009528,0,0.04746,56,640,0.8486,0.7811,0.8455,0.4526,0.06969,0.005148,0
,90/99,12.1G,0.03772,0.009572,0,0.04729,37,640,0.8631,0.8159,0.8725,0.4536,0.06896,0.005041,0
,91/99,12.1G,0.03451,0.009291,0,0.0438,66,640,0.8133,0.8453,0.8479,0.4229,0.06936,0.005015,0
,92/99,12.1G,0.03616,0.009418,0,0.04558,66,640,0.8713,0.7761,0.8719,0.4515,0.06805,0.005063,0
,93/99,12.1G,0.03818,0.009481,0,0.04766,63,640,0.8306,0.756,0.8454,0.4351,0.06966,0.005113,0
,94/99,12.1G,0.03654,0.009405,0,0.04595,66,640,0.8465,0.7958,0.8486,0.4438,0.07026,0.005083,0
,95/99,12.1G,0.03814,0.009377,0,0.04751,53,640,0.7963,0.8408,0.846,0.4448,0.06925,0.005094,0
,96/99,12.1G,0.03652,0.009435,0,0.04595,66,640,0.8377,0.7959,0.8539,0.4394,0.07007,0.005089,0
,97/99,12.1G,0.03619,0.009395,0,0.04559,53,640,0.827,0.8806,0.8772,0.455,0.06839,0.005027,0
,98/99,12.1G,0.03599,0.009502,0,0.04549,43,640,0.8512,0.8256,0.8569,0.4463,0.06867,0.004971,0
,99/99,12.1G,0.03698,0.00915,0,0.04613,78,640,0.8333,0.8205,0.851,0.4458,0.06832,0.005023,0
